Ciudad;Partido;Habitantes;
Martínez;San Isidro;65.859;
San Isidro;San Isidro;45.190;
Bella Vista;San Miguel;94.048;
Santa María;San Miguel;123.651;
La Emilia;San Nicolás;2.883;
San Nicolás de los Arroyos[12];San Nicolás;124.315;
San Pedro;San Pedro;42.151;
Alejandro Korn;San Vicente;23.821;
San Vicente;San Vicente;17.175;
Suipacha;Suipacha;7.149;
Tandil;Tandil;101.010;
Tapalqué;Tapalqué;6.605;
Benavídez;Tigre;34.162;
Don Torcuato;Tigre;64.867;
El Talar;Tigre;43.420;
General Pacheco;Tigre;43.287;
Tigre;Tigre;31.106;
General Conesa;Tordillo;1.209;
Tornquist;Tornquist;6.066;
Treinta de Agosto;Trenque Lauquen;4.204;
Trenque Lauquen;Trenque Lauquen;30.764;
Tres Arroyos;Tres Arroyos;45.986;
Caseros;Tres de Febrero;90.313;
Tres Lomas;Tres Lomas;6.685;
Veinticinco de Mayo[13];Veinticinco de Mayo;22.581;
Vicente López[14][15];Vicente López;274.082;
Médanos;Villarino;5.447;
Lima;Zárate;10.219;
Zárate;Zárate;;
